individuals	species
PS82_2063-myersi	myersi
PS82_2068-myersi	myersi
PS82_2070-myersi	myersi
PS82_2072-myersi	myersi
PS82_2075-myersi	myersi
PS82_2078-myersi	myersi
PS82_2079-myersi	myersi
PS82_2080-myersi	myersi
PS82_2081-myersi	myersi
PS82_2082-myersi	myersi
PS82_2084-myersi	myersi
PS82_2086-myersi	myersi
PS82_2087-myersi	myersi
PS82_2089-myersi	myersi
PS82_2091-myersi	myersi
PS82_2093-myersi	myersi
PS82_2094-myersi	myersi
PS82_2095-myersi	myersi
PS82_2096-myersi	myersi
PS82_2098-myersi	myersi
PS82_2342-myersi	myersi
PS82_2343-myersi	myersi
PS82_2414-myersi	myersi
PS82_2432-myersi	myersi
PS82_3361-myersi	myersi
PS82_3363-myersi	myersi
PS82_3377-myersi	myersi
PS82_3385-myersi	myersi
PS82_3386-myersi	myersi
PS82_3387-myersi	myersi
PS82_3393-myersi	myersi
PS82_3395-myersi	myersi
PS82_3415-myersi	myersi
PS82_3419-myersi	myersi
PS82_3420-myersi	myersi
PS82_3421-myersi	myersi
PS82_3425-myersi	myersi
PS82_3435-myersi	myersi
PS82_3441-myersi	myersi
PS82_3444-myersi	myersi
PS82_3459-myersi	myersi
PS82_3467-myersi	myersi
PS82_3471-myersi	myersi
PS82_3473-myersi	myersi
PS82_3475-myersi	myersi
PS82_3479-myersi	myersi
PS82_3481-myersi	myersi
PS82_3498-myersi	myersi
PS82_3610-myersi	myersi
PS82_3626-myersi	myersi
PS82_3874-myersi	myersi
PS82_3879-myersi	myersi
PS82_3888-myersi	myersi
PS82_3891-myersi	myersi
PS82_3897-myersi	myersi
PS82_3900-myersi	myersi
PS96_24-myersi	myersi
CrE_03-rastro	rastro
CrE_04-rastro	rastro
CrE_05-rastro	rastro
CrE_07-rastro	rastro
CrE_08-rastro	rastro
CrE_09-rastro	rastro
CrE_10-rastro	rastro
CrE_11-rastro	rastro
CrE_12-rastro	rastro
CrE_13-rastro	rastro
CrE_14-rastro	rastro
CrE_15-rastro	rastro
CrE_16-rastro	rastro
CrE_17-rastro	rastro
CrE_18-rastro	rastro
CrE_19-rastro	rastro
CrE_20-rastro	rastro
CrE_21-rastro	rastro
CrE_22-rastro	rastro
CrJ_01-rastro	rastro
CrJ_02-rastro	rastro
CrJ_03-rastro	rastro
CrJ_04-rastro	rastro
CrJ_05-rastro	rastro
CrJ_06-rastro	rastro
CrJ_07-rastro	rastro
CrJ_08-rastro	rastro
CrJ_09-rastro	rastro
CrJ_10-rastro	rastro
CrJ_11-rastro	rastro
CrJ_12-rastro	rastro
CrJ_13-rastro	rastro
CrJ_14-rastro	rastro
CrJ_15-rastro	rastro
CrJ_16-rastro	rastro
CrJ_17-rastro	rastro
CrJ_18-rastro	rastro
CrJ_19-rastro	rastro
CrJ_20-rastro	rastro
PS79_492-rastro	rastro
PS79_507-rastro	rastro
PS79_529-rastro	rastro
PS79_530-rastro	rastro
PS79_531-rastro	rastro
PS79_595-rastro	rastro
PS79_604-rastro	rastro
PS79_649-rastro	rastro
PS79_650-rastro	rastro
PS79_651-rastro	rastro
PS79_652-rastro	rastro
PS79_653-rastro	rastro
PS79_654-rastro	rastro
PS79_655-rastro	rastro
PS79_656-rastro	rastro
PS79_657-rastro	rastro
PS79_658-rastro	rastro
PS79_659-rastro	rastro
PS79_670-rastro	rastro
PS79_671-rastro	rastro
PS79_672-rastro	rastro
PS79_673-rastro	rastro
PS79_674-rastro	rastro
PS79_675-rastro	rastro
PS79_676-rastro	rastro
PS79_677-rastro	rastro
PS79_678-rastro	rastro
PS79_679-rastro	rastro
PS79_680-rastro	rastro
PS79_681-rastro	rastro
PS79_682-rastro	rastro
PS79_683-rastro	rastro
PS79_684-rastro	rastro
PS79_685-rastro	rastro
PS79_686-rastro	rastro
PS79_687-rastro	rastro
PS79_688-rastro	rastro
PS79_689-rastro	rastro
PS79_690-rastro	rastro
PS79_691-rastro	rastro
PS79_692-rastro	rastro
PS79_693-rastro	rastro
PS79_694-rastro	rastro
PS79_743-rastro	rastro
PS79_744-rastro	rastro
PS79_745-rastro	rastro
PS79_746-rastro	rastro
PS79_747-rastro	rastro
PS79_748-rastro	rastro
PS79_827-rastro	rastro
PS79_881-rastro	rastro
PS79_882-rastro	rastro
PS79_883-rastro	rastro
PS79_978-rastro	rastro
PS79_979-rastro	rastro
PS79_1083-rastro	rastro
PS79_1138-rastro	rastro
PS79_1139-rastro	rastro
PS79_1140-rastro	rastro
PS79_1141-rastro	rastro
PS79_1183-rastro	rastro
PS79_1211-rastro	rastro
PS79_1212-rastro	rastro
PS79_1213-rastro	rastro
PS79_1214-rastro	rastro
PS79_1215-rastro	rastro
PS79_1216-rastro	rastro
PS79_1217-rastro	rastro
PS79_1221-rastro	rastro
PS79_1347-rastro	rastro
PS79_1348-rastro	rastro
PS79_1349-rastro	rastro
PS79_1350-rastro	rastro
PS79_1351-rastro	rastro
PS79_1352-rastro	rastro
PS79_1483-rastro	rastro
PS79_1485-rastro	rastro
EI_62-rastro	rastro
EI_66-rastro	rastro
EI_209-rastro	rastro
EI_212-rastro	rastro
EI_215-rastro	rastro
EI_218-rastro	rastro
EI_222-rastro	rastro
EI_226-rastro	rastro
EI_264-rastro	rastro
EI_265-rastro	rastro
EI_267-rastro	rastro
EI_268-rastro	rastro
EI_271-rastro	rastro
EI_275-rastro	rastro
EI_406-rastro	rastro
EI_416-rastro	rastro
EI_417-rastro	rastro
EI_419-rastro	rastro
EI_420-rastro	rastro
EI_421-rastro	rastro
EI_426-rastro	rastro
EI_427-rastro	rastro
EI_428-rastro	rastro
EI_431-rastro	rastro
EI_434-rastro	rastro
EI_436-rastro	rastro
EI_438-rastro	rastro
EI_440-rastro	rastro
EI_501-rastro	rastro
EI_504-rastro	rastro
EI_507-rastro	rastro
EI_519-rastro	rastro
EI_520-rastro	rastro
EI_522-rastro	rastro
EI_523-rastro	rastro
EI_525-rastro	rastro
EI_550-rastro	rastro
EI_568-rastro	rastro
EI_608-rastro	rastro
EI_611-rastro	rastro
SS_1085-rastro	rastro
SS_1088-rastro	rastro
SS_1090-rastro	rastro
SS_1097-rastro	rastro
SS_1246-rastro	rastro
SS_1247-rastro	rastro
SS_1249-rastro	rastro
SS_1252-rastro	rastro
SS_1253-rastro	rastro
SS_1254-rastro	rastro
SS_1255-rastro	rastro
SS_1256-rastro	rastro
SS_1257-rastro	rastro
SS_1258-rastro	rastro
SS_1259-rastro	rastro
SS_1260-rastro	rastro
SS_1262-rastro	rastro
SS_1264-rastro	rastro
SS_1265-rastro	rastro
SS_1266-rastro	rastro
SS_1267-rastro	rastro
SS_1268-rastro	rastro
SS_1271-rastro	rastro
SS_1275-rastro	rastro
SS_1277-rastro	rastro
SS_1278-rastro	rastro
SS_1279-rastro	rastro
SS_1284-rastro	rastro
SS_1288-rastro	rastro
SS_1293-rastro	rastro
SS_1297-rastro	rastro
SS_1298-rastro	rastro
SS_1299-rastro	rastro
SS_1367-rastro	rastro
SS_1369-rastro	rastro
SS_1574-rastro	rastro
SS_1577-rastro	rastro
SS_1579-rastro	rastro
SS_1585-rastro	rastro
SS_1587-rastro	rastro
Jo_1572-rastro	rastro
Jo_1573-rastro	rastro
Jo_1574-rastro	rastro
Jo_1577-rastro	rastro
Jo_1579-rastro	rastro
Jo_1585-rastro	rastro
Jo_1587-rastro	rastro
Jo_1588-rastro	rastro
Jo_1590-rastro	rastro
Jo_1592-rastro	rastro
Jo_1600-rastro	rastro
Jo_1661-rastro	rastro
Jo_1663-rastro	rastro
Jo_1664-rastro	rastro
Jo_1665-rastro	rastro
Jo_1667-rastro	rastro
Jo_1670-rastro	rastro
Jo_1671-rastro	rastro
Jo_1672-rastro	rastro
Jo_1675-rastro	rastro
Jo_1676-rastro	rastro
Jo_1677-rastro	rastro
Jo_1680-rastro	rastro
Jo_1681-rastro	rastro
Jo_1682-rastro	rastro
Jo_1684-rastro	rastro
Jo_1686-rastro	rastro
Jo_1710-rastro	rastro
Jo_1711-rastro	rastro
Jo_1718-rastro	rastro
CA01-rastro	rastro
CA02-rastro	rastro
CA03-rastro	rastro
CA04-rastro	rastro
CA05-rastro	rastro
CA06-rastro	rastro
CA07-rastro	rastro
CA08-rastro	rastro
CA09-rastro	rastro
CA10-rastro	rastro
CA11-rastro	rastro
CA12-rastro	rastro
CA13-rastro	rastro
CA14-rastro	rastro
CA15-rastro	rastro
CA16-rastro	rastro
CA17-rastro	rastro
CA20-rastro	rastro
CA21-rastro	rastro
CA22-rastro	rastro
CA23-rastro	rastro
CA34-rastro	rastro
CA35-rastro	rastro
CA36-rastro	rastro
CA37-rastro	rastro
CA38-rastro	rastro
CA39-rastro	rastro
CA40-rastro	rastro
CA41-rastro	rastro
CA42-rastro	rastro
CA43-rastro	rastro
CA44-rastro	rastro
CA45-rastro	rastro
CA46-rastro	rastro
CA47-rastro	rastro
CA48-rastro	rastro
CA49-rastro	rastro
CA50-rastro	rastro
CA51-rastro	rastro
CA52-rastro	rastro
CA53-rastro	rastro
CA54-rastro	rastro
CA55-rastro	rastro
CA56-rastro	rastro
CA57-rastro	rastro
CA58-rastro	rastro
CA59-rastro	rastro
CA60-rastro	rastro
CA61-rastro	rastro
CA62-rastro	rastro
CA63-rastro	rastro
CA64-rastro	rastro
CA65-rastro	rastro
PS112_313-rastro	rastro
PS112_315-rastro	rastro
PS112_317-rastro	rastro
PS112_319-rastro	rastro
PS112_321-rastro	rastro
PS112_323-rastro	rastro
PS112_325-rastro	rastro
PS112_327-rastro	rastro
PS112_329-rastro	rastro
PS112_331-rastro	rastro
PS112_467-rastro	rastro
PS112_469-rastro	rastro
PS112_471-rastro	rastro
PS112_473-rastro	rastro
PS112_475-rastro	rastro
PS112_477-rastro	rastro
PS112_479-rastro	rastro
PS112_481-rastro	rastro
PS112_485-rastro	rastro
PS112_487-rastro	rastro
PS112_489-rastro	rastro
PS112_491-rastro	rastro
PS112_493-rastro	rastro
PS112_495-rastro	rastro
PS112_497-rastro	rastro
PS112_499-rastro	rastro
PS112_718-rastro	rastro
PS112_720-rastro	rastro
PS112_740-rastro	rastro
PS112_742-rastro	rastro
PS112_744-rastro	rastro
PS112_792-rastro	rastro
PS112_794-rastro	rastro
PS112_796-rastro	rastro
PS112_798-rastro	rastro
PS112_800-rastro	rastro
PS82_2106-rastro	rastro
PS82_2124-rastro	rastro
PS82_2130-rastro	rastro
PS82_2134-rastro	rastro
PS82_2143-rastro	rastro
PS82_2177-rastro	rastro
PS82_2183-rastro	rastro
PS82_2197-rastro	rastro
PS82_2202-rastro	rastro
PS82_2210-rastro	rastro
PS82_2225-rastro	rastro
PS82_2226-rastro	rastro
PS82_2230-rastro	rastro
